Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
0874260582,"The Hogs of Cold Harbor: The Civil War Saga of Private Johnny Hess, CSA",29.0,A2MCQRLZY0M4UJ,M. Cleburne,5/6,5.0,1141084800,Speaks for the dead and defeated - a cult book for Rebels,"No wonder Norman Mailer loved this book. Fulgham has written a controversial work. Arguments are raging online in Civil War groups and writer's groups. He speaks for a dead soldier from a defeated country -- apparently who saw his wounded friends' faces eaten off by wild hogs stalking Civil War battlefields at night. This is a cult book in the making. He wrote online that he's had to drop the internet because six people have sent him viruses after reading ""The Hogs of Cold Harbor"".This author is a hot potato. Drop him if you can't take the heat. Hold him a little while and his work is delicious, well written, horrifying -- and as a reviewer at ""Civil War News"" said ""as brutal and ironic as a Civil War"". He brings a dead soldier to life. He reminds me of Remarque in ""All Quiet on the Western Front"". IMO there is no better writer working in America today."
1589269063,The Five Love Languages: The Secret to Love that Lasts,19.25,AKINHW1IAB1WP,kstarkasm,0/0,5.0,1357430400,5 Love Languages,A great look into one of the least trained but most important skills in life. True communication and a basis for understanding others. Excellent condition and fast delivery
B000PCAPDA,And Then There Were None,,A1NL5OV284QAH,Anne Glass,0/0,5.0,1351123200,Better Than the Movie,"I remember watching the movie ""Ten Little Indians"" as a young adult and thoroughly enjoying it. As an adult I realized I'd never read any of Agatha Chistie's novels and settled on this one. It was so enjoyable reading the novel and realizing thedifferences from the movie. If you enjoyed the movie you should read the book!"
1579546897,The Bowflex Body Plan,19.77,A2U7X17ULAKHBC,Jamey L. Myers,5/5,5.0,1143072000,Compliments your Bowflex!!,"This books has helped be greatly. I purchased a Bowflex and was not quite sure what to do with it. This books really outlines a plan that you can follow and it has been three weeks and I can already see results. The author of this book, Dr. Darden, is a Bowflex expert since he works for the company that makes bowflex. He has worked out using all types of equipment, so I know his opinion has merit. Also, if you need to ask him a question, you can e-mail him and he does respond. Great Book!"
B00005X54S,We the Living,,A1J0NB7YI4TEDJ,Susan Taylor,2/2,5.0,1271548800,You Don't Want to Miss This!,"Ayn Rand is an excellent writer. But I didn't need this book to prove it to me since The Fountainhead and Atlas Shrugged have already made that obvious. It did take this book, though, to open my eyes to what living in 1920s Communist Russia was really like...and let me tell you, it was not walk in the park. Ayn Rand is one of those writers who will have so much an effect on you after you have read just a chapter of her book that you will begin to think in the way that she writes. You'll see. She makes you so much a part of the story that you are a poor Russian girl trying to find something worth holding onto...worth living for...in a world where everything is fleeting and nothing seems to matter. I highly recommend this novel to anyone interested in Communist Russia and/or anyone who wants to read a good romance that isn't the stereotypical cookie-cutter type. This is an overlooked gem. It is just as good, if not better than the works Ayn Rand is best known for."
B000BSFXQW,Jackalope,,AN2SQ37BVCATU,"E. S. Will ""a new leaf""",5/5,5.0,1067990400,"Silly, corny--lots of fun!","The sister duo who produced this book obviously had lots of fun--with word play, corny jokes, rhymes, and borrowed bits and pieces of classic tales-a fairy godrabbit and a magic mirror that admonishes, ""I don't just reflect, I need your respect."" They tack on a false ending plus an old-fashioned moral: ""Like yourself as you are.""They set out to tell the TRUE story of that unique Western creature--the jackalope, a jack rabbit with antelope horns--and pull it off wonderfully with an irreverent attitude and silly illustrations."
B000FTOWC8,On the Road,,A2XV6A32W193MM,M J Bobbett,2/4,4.0,953856000,Slightly dated feel takes the shine off this classic.,"'On the Road' has over the years become the definitive expression of disillusionment with society's expectectations. For those of us who at some point have struggled for direction or lost sight of our dreams it is likely to strike some chords.The two main characters of the book, Sal Paradise and Dean Moriarty, never truely win your heart in this book. Moriarty's exhuberance and desire to experience life to the full is tempered by his frustrating recklessness and somewhat fickle nature. Paradise, always eager to be infused by his companion's energy, tracks endlessly back and forth.At the end of the book you may be left a little confused as to what, if anything, our two heroes(?) have learnt or gained on their spiritual journeys.The book may feel a little dated with its 1950's American backdrop and did not have the atmosphere (the descriptions of the Jazz and Mambo music excepted) to rope me in. If you are a member of today's Generation X and are seeking a more modern perspective on discontentment and dropping out, perhaps Douglas Coupland may be more your style.In conclusion, this book would be fully worth three and a half stars. However, in the absence of half stars, it deserves the fourth for the inspiration it has given to successive generations of authors."
1573226475,The Psalms (Sacred Text),,,,4/8,3.0,885340800,Not What I expected,"After reading the poetic, almost mystical, Cloister Walk, I was disappointed. In Cloister Walk, Norris consistently uses the Grail Psalms in her quotes of Psalm verses. So, I was disappointed to find that these Psalms were based on the KJV. Alas, the Grail translation is out of print! Too bad -- that would have been my preference."
B00073AJ2E,Johnny Tremain: A novel for old & young (Yearling book),,,,12/16,4.0,967161600,"A good book, if...","Every once in a while, an author publishes a really good book that actually has something to learn from it. Inevitably, teachers seize the oppurtunity and force kids to read it.I just came out of the 8th grade exhausted. My English class had spent over 6 months on Johnny Tremain! My teacher practically ripped the book apart, so that every single one of her students could recite the 47 themes in Chapter 5 (such as a routine to to the well actually being a lifelong journey of hope). This teacher had been using Johnny Tremain so long, she could actually RECITE THE FIRST CHAPTER! And the chapters are not very small at all.Anyway, after school was over, I picked up my copy again. I was hooked. It was actually fun reading the book when I didn't have to note the conflicts between Johnny and Rab in Chapter 9. The story is very well written, and it teaches important lessons about life today as well as in the 18th century. My only gripe is that it seems that Esther Forbes tried to write a book that was pretty much a compilation of every other coming of age story. People don't have &quot;growing up realizations&quot;, girl troubles, freindship disputes, family trouble, a burnt hand, and a national revolution all in the same week!"
0689319908,"The Realms of the Gods (Immortals, The)",,,,0/0,5.0,1044144000,This is a great book!!!,"I first started reading Wild Magic, and as another reveiwer put it, I got ""addicted"" to Tamora Pierce. Her books are like the best books in the whole world.The blossoming romance between Diane and Numair really gives a sence of humanity and depth in the book which it otherwise would not have had. Tamora Pierce developes a great plot that leaves you wishing for more, and at the same time you are also satisfied.I wish that Rikash hadn't died, because he was a nice reminder that not all things that you think are bad are actually bad.Tamora Pierce also allows you to confuse the books within a series with each other, which I think is the mark of a good writer. She uses continuity throughout the series, so if I say something that belongs in another book, sorry.Again, I thought that the romance between Diane and Numair was one of the best things that she could have done, because the plot is a litte less humanity oriented than the other books in the series.If I am discouraging anyone from buying this book, I don't mean to, so just in case I am, you really should buy this book. It is a great conlusion to the end of the series, but it is also a really great book by itself.-Mauvie"
1416905030,"Buzz-Buzz, Busy Bees",,A3E9IOOOZOJN6Y,Kimberly T.,2/3,1.0,1162684800,Buzzing didn't work long,"The story is cute. But I can't figure out how to get the buzzing sound to work every time. My daughter loves that it buzzes and she wants me to make it work, but, it comes on only sometimes. Its not worth the effort to return it. I don't recommend buying it."
B000NDSX6C,The Hobbit,,A2XD1VRQ322QMX,R. Laswell,2/2,5.0,1310169600,A great read,A truly enchanting tale which spurred an entire fantasy revival you can't say no this book. It is well written and easily read by all ages. Give it a chance I am sure you will love it.
0708910351,Chariots of the Gods,,A37LOFF4GEYZ13,"shacary ""Shacary""",1/5,5.0,1060732800,Different perspectives.,"ALtho Von Dankin has beeen proven to be a &quot;unresearched&quot; scientist, I still enjoy the movie version of his book. I love archeological sites, and history as rule. Many things were uniquely presented, but again, you have to take a grain of salt with his &quot; out of context&quot; presentations. [ mayan heiroglyphs etc]. great cinematograhy tho."
0380732602,Stories to Solve,4.64,A16FBX1EUHLSJ5,Doug or Kaz,1/1,5.0,1171152000,good puzzles,"My 8 year old daughter loves this book. On her first read through she said she only solved 1 or 2 of them herself, but she has since enjoyed reading them aloud to my husband and I to see if she can stump us. I've missed at least one, and we haven't read them all yet.Based on my daughter's experience, I'd recommend this for ages 7 - 12. (or older, as I said, I got stumped too!)"
0375765239,"Cracking the ACT, 2006 Edition (College Test Prep)",,AG361Q3JDF6JV,"Lorcan Ingham ""confident test taker""",7/8,5.0,1163030400,Great Review Guide,"My SAT score wasn't very good, so I decided to try the ACT to see if I could improve it. Some websites online recommended this Princeton Review book, so I decided to give it a shot, so I wouldn't be testing blind. The book is very good at explaining the process, and explaining each of the sections. It has plenty of review problems, which are similar in difficulty to the ones on the test itself. I read through the entire book (which is much smaller than my official SAT review book, I might add) and took one practice exam.On the day of the exam, I felt confident in my abilities, and wasn't shocked by the exam; in fact, I found it much easier than the SAT. My scores reflected that; even though I only have a 1410 on the SAT, my ACT score (first time!) was a 34, including a perfect score of 36 for the science section and a near-perfect 35 on the critical reading section. So, I give this review guide my highest recommendation."
0970833288,Cloned Love,,A31FRG7426N17X,F. Cornell,21/21,4.0,1040601600,A book with an old soul.,"For this couple, a lifetime loving each other wasn't enough and they put their faith in science to remix their cells into a love potion and reincarnate them. Of course the book would be no fun if these two fell in love at first sight again and so through the process of cloning we have one couple living out two completely different lifetime relationships...... or does it just seem like one couple---that's what is fun to decide. If twins have such a strong mental tie to their sibling, imagine what it would be for a Clone and his gene donor. Shared memories through Telepathic connection from beyond the grave.....I also enjoyed the life and times of the hippies; their adventure made for a great story and it was great to take a 150 year trip with the Grateful Dead.Kudos for the fantastic poetry--- it was not only beautifully written, but it lent to their story by setting the mood for each chapter. The entries from Sunny's diaries is what gives this book a heartbeat; it is especially touching.The author does a wonderful job telling the love story. He has made the characters down to earth enough to make the loftiness of their love believable and bearable for the reader. As you get caught up in the love the hippies share, you'll feel for the struggle the Clones--- particularly the male Clone--- goes thru. But they find their own way once they leave the old ways behind and by book's end there are new beginnings on the horizon for all..... Including a sequel.......Like a fine piece of machinery, all the parts of this book work. The author has command of the direction of the story so you are always in the flow with the wind at your back.Favorite Part- When Flare and Sunny get hitched on the pot farm while the State Troopers are raiding the place.Why 4 Stars? Because Das Kapital is a 5 Star book...."
1567183026,Signs of Mental Illness: An Astrological and Psychiatric Breakthrough,,A1KK6NSLFHD1P8,Steven,0/0,5.0,1356480000,Absolutely Brilliant!,There is very little material available about the use of astrology for determining challenges such as mental illness. I read the Amazon reviews last night for this book and was surprised that one person gave it a poor rating because it was difficult to understand. Another person gave it a poor rating even though she had 20 plus years of experience with astrology. I have worked with hermetic astrology for many years and found this book to be an outstanding piece of work! I can only presume that the person who had 20 plus years of astrology meant that the he or she had been reading horoscopes in a newspaper.I am hoping that Mitchell goes ahead with projects mentioned in the back of the book: astrological markers for creative genius etc. I honestly feel that the people who have left poor ratings for this book don't have a sufficient understanding of astrology to understand the content.
B000JZLQKO,Jemima J - A Novel About Ugly Ducklings And Swans,,A3JT62MFXQ2Z1S,santana,3/6,4.0,1068249600,Just enjoy the ride!,"Had to write a review because everyone I know is hatin' on the book. It was fun fun fun! I can totally relate to the character and even though you have to suspend reality time to time in order to accept what is happening- IT IS FICTION FOLKS- it is suppose to be fun in that way. It is really little more than a cinderella story, but hey, it is light and frothy and has way less calories than chocolate!"
B000P3Y6WK,Lonely on the Mountain,,AF5R2MA03CIY5,rascal1263,0/0,5.0,1357776000,My husband can't put it down,"Anyone who loves Louis L'Amour books will not be disappointed with this one. I believe my husband has already read the stories a couple fo times, but they never get old."
B000OW0XR4,The Great Gatsby,,AEAQ82YCZRAUW,Zachary Jennings,0/0,5.0,1358467200,Definitely a Great Gatsby!,"Amazing book. Very good character development, fantastic plot, and even has a moral. Now I just have to wait for the movie!"
B0006PEWDA,The defence of Duffer's Drift,,A3OKUOL47XU9JU,Anthony F. Wengraitis,2/3,5.0,1040428800,Field Primer for Combat Leaders,"A timeless classic of Military instruction set forth in simple and fast reading manner. It is truly amazing how many principles never change. If you are an instructor make your students read it, if you are an NCO memorize it, if you have a new junior officer assigned to you tie him down with 100 mph tape and read it to him. Any individual who does not learn anything from this text should be reassigned to a position where they cannot influence or harm soldiers in the field."
1578400317,Treasure Island (Classic Illustrated),,AWMBG5979G8U9,Gary Cooper,0/0,5.0,1356048000,It's a treasure.,Comments? Really? This is a classic ... I'm only adding this because more words were required to post a review. I recommend it.
0316109487,Just Being Me #4: I'm ALL Dressed!,,A1XJOSJN6FHFO0,"Shirley Priscilla Johnson ""Author/Reviewer -...",0/0,5.0,1133136000,Adorable!,"This is an adorable teaching story.Grandpa is having a birthday party and their little boy wants to go in his underwear. Mom and dad explain that it is cold outside and he must put clothes on and they help their little boy get dressed. Unfortunately dad must wrap Grandpa's present and everyone must wait to leave and during this time their little boy decides he is hot and takes all his clothes off again.When it's time to go he decides he will dress himself. He doesn't get his clothes on the way we would expect them to be worn, but he does it the way he feels is right. Mom and Dad allow him to go to the party this way.After all, he is dressed and he will be warm; he is very proud of his dressing job and very happy mom and dad are too.The illustrations are lively and colorful and are very eye-catching to a child. This is a really cute teaching story."
B000OVPFHS,Silent Partner (Alex Delaware),,,,0/0,5.0,898387200,could not put it down,"Alex Delaware meets someone from his past at a party. Through a series of twists and turns he discovers the truth about her. I am usually good at guessing endings, but I had no idea what would happen in this case."
0783892780,Me Talk Pretty One Day,,A8YVD7LAWAEI5,"Cristina Mclaughlin ""Cristina625""",1/1,5.0,1215561600,It's so funny I nearly peed my pants,"I have never read a book this hysterical in my life. In this quirky autobiographical piece Sedaris tackles everything from a speech therapist who is out to correct every lisp in the boys with homosexual tendacies, to his galavanting in Paris where he visits all the movie theatres but none of the tourist attractions, to his prank playing sister who finds it amusing to create shocking situations (she yells out ""good luck beating that rape charge David"" right before he steps out of his subway car).Some of his stories border on the absurd but his true talent is for finding humorous twists and perspectives on the mundane parts of life that many of us have perhaps pondered in a similar fashion but never had the true courage to vocalize. I read half of this book out loud to my husband and he and I were both gasping for breath as we shook with laughter. Read just one chapter and I dare you to put it down. This is one of those books I know I will return to again and again because it isn't a linear plot but a collection of great moments that you want to share with those around you.My only regret is that it took me this long to pick up one of his books. I plan to read them all and you should too. Unless you don't have a sense of humor or are uptight when it comes to being politically correct in which case I highly recommend you stay away from this."
0864922213,Fugitive Pieces (Between the Covers Collection),,,,0/0,5.0,879033600,Unforgettable and beautifully written masterpiece,This is a rare gem of a book. The words and the two intertwined stories will be forever etched in my soul. It's a must read for anybody interested in the power of language and memory.
B000B770YG,Catch 22,,,,0/1,5.0,956102400,Much more than &quot;funny&quot;,"Catch 22 is one of those rare books that a reader can take from it whatever he or she wants. If it's humor you're looking for, then this is a funny, comical book to read with fast-paced, pinpoint dialogue (similar to the slapstick humor in Zuckers/Abrahams/Zuckers movies &quot;Airplane!&quot; or &quot;The Naked Gun&quot;). BUT FUNNY IS SUCH A GROSS UNDERSTATEMENT. Catch 22 is rich with social and political symbolisim, which means if you're looking for something deeper than a &quot;good laugh&quot; there is plenty here to keep you busy thinking for a long time. Overall, I found Catch 22 to be a story of hope. That no matter how ridiculous or impossible the obstacles in front of you appear, you can conquer them with belief in yourself and a plan of attack."
0789706598,Special Edition Using Perl 5 for Web Programming,,,,1/5,1.0,930096000,It is Not GOOD don't buy it,"the fisrt chapters are clear, then the book starts to use strange statements and never explained so i didn't read it all I have thrown it in the garbage..."
B000BHA3SG,The Debt Threat : How Debt Is Destroying the Developing World,,A1686H7Q24XZ3E,Vincent Toolan,27/28,5.0,1098748800,"Blueprint for change, endorsed by rock stars","Few exhortations to action manage to blend a detailed objective analysis of the facts; a practical, well thought-out agenda for change; and the true passion that comes of moral certainty. Dr Hertz's book somehow pulls it off.Her central case is that developing country debt is the legacy of bad decisions - bad on the parts of the lenders, and of the borrowers. The consequences are awful at the human level, on a massive scale, just as Bono eloquently described at the Labour Party conference. IOU goes some way down the same path, successfully mixing the pure statistics of poverty with anecdotes of uneducated children, needlessly untreated HIV/AIDS sufferers, and women forced into prostitution. One of this book's strengths, however, is that it brings to the fore something far less obvious: namely, that the consequences of debt are malicious for the lenders in the rich world too. The debt quagmire entrenches much of the world's unrealised economic potential in a spiral of corruption, dampening demand for western goods and limiting investment, breeding ill-feeling towards lender nations, and ultimately contributing to the existence of failed states in which terrorists can thrive.She goes on to explain exactly how to break the spiral, and anticipates and overcomes the practical objections. In a nutshell, she proposes applying strict criteria to debt relief, and an ingenious series of controls to ensure that money freed up benefits people rather than corrupt politicians.Dr Hertz's breathless writing style conveys her passion for the subject rather well. Colloquialisms, run-on sentences, and a strange eye for the physical characteristics of her protagonists all give the sense of being on the receiving end of an intense face-to-face monologue rather than reading a dry book about development economics. Male characters ""probably used to be good looking""; women are ""hose clad"". But the facts and figures to buttress the case are never far behind. If there is perhaps one area in which she stretches the case a little too far, it is in the impact of debt on the environment. The reader gets the sense that because both debt and climate change are important, there must somehow be a causal link. But this section does little do dilute the impact of the whole.All in all, an engaging and important piece of work that deserves the plaudits. As Bob Geldof says: ""everyone should read this book""."
B0007I6MLG,Doctor Dan the bandage man (Little golden book),,A3I0YRAHH2OBRF,John44,2/2,5.0,1210982400,It must have impresed me.,"I am a 61 year old new Grandfather.I remember this book from when I was 5 years old.I haven't seen a copy for probably 50yr's,but I still remember the Band Aids.I think it's interesting that some reviewers see a very good book meant to introduce children to first aid and the idea of helping others, while others only see a little girls panties and advertising.I'm not sure why this book made such an impression on me,(it might have been my first book),but it still stands out after 55yr's.The 50's may seem odd to some folks but for the first 15 yr's of my life my parents never found it necessary to lock the front door unless we went out of town.Since I have seen all the Shirly Temple movies I didn't think the sight of a little girls panties was either shocking or disturbing,but I guess some folks see it as harmful.My parents read this book to me a lot until I learned how to read it for myself,and I don't think I was harmed in any way.As soon as I can find a copy my Grandson will have his first book in his library. John44"
B000HE6TPO,These Old Shades,,A15BHDNAUEBEKP,Evelina,2/4,3.0,1322438400,The Duke of Avon is too mean,"It is common for the hero of romances to be something of a SOB, however, this one goes too far. This guy outstrips the limits and is really satanic and cold hearted and even sadistic. I never could accept the romance between him and Leonie. There is no gentleness in him. In addition, she is nineteen and he is in his forties. His son in Devil's Cub is better, wild, dangerous, but with more warmth and consideration, more emotional and reachable than his father.I was also taken aback when reading this book for the first time in high school by the snobbishness. Lower class characters are physically coarse, snub nosed, large pored, big footed. The Duke knows Leonie is an aristo because she is fine boned, small nostriled, delicate, small footed. Usually this kind of thing passes as part of the genre. But this was a little too pronounced."
B0006L89NI,Mean Genes: From Sex to Money to Food: Taming Our Primal Instincts,,,,10/13,5.0,972172800,So... that's why I do bad things.,"You know that a field of study has come of age when its insights can be used to improve human life. Self-help is the technology of the humanities and human sciences, and _Mean Genes_ catapults biology into the vangaurd of self-help technology.I've always been suspect of self-help. Just because that helped you, why would it help me? In many cases there doesn't seem to be any reason to follow advice based the kind of personal experience often used to develop self-help techniques.Not only do Burnham and Phelan discuss actual research into human and animal behavior, they also piece together the forgotten history and physical bases of many of our most recalcitrant weaknesses. Some of their simple revelations about greed, sex, gluttony, and the like, speak to the very nature of the personal evils that we faced down (or succumb to) day-in and day-out.If self-knowledge is half of the battle for happiness, _Mean Genes_ brings us at least 1/3 of the way toward eternal bliss."
B000KSF83Q,From Russia with Love,,A33BWPXNO2OTRT,Dave Curtis,1/2,4.0,948240000,"Bond, James Bond","After only reading 6 Flemming Bond Novels, this is by far one of the best. Right from the start, Flemming introduces a menace of a character (Red Grant) who plays a major part in a clever trap created by SMERSH to put Bond to his death. There is some great character development in this novel, especially the relationship between Bond and his counterpart in Turkey, Kerim Bay. There are some believable ememies and great locations. The train journey on the Orient Express is the main highlight of this book. This is a must for all Bond fans, make sure you have Dr. No ready for when you've finished this one."
B0007ECLJM,Wide Sargasso Sea,,A29NUB3P6YIWZG,lazza,4/5,4.0,1223078400,prequel to Jane Eyre intriques...,"'Wide Sargasso Sea' is certainly an interesting read. Although a prequel to 'Jane Eyre', it can be read on its own merit. The story is about a rather disturbed young woman in the West Indies and her husband who both tries to understand and escape from her. The author captures the time period (1830s) perfectly and has obviously researched the lifestyle and the language of the local people. She is also a brilliant writer; her prose and characterizations are of a high caliber. Yet since much of the book is written in the first person of a stressed, emotionally unstable woman, I found it sometimes difficult to catch all the subtle nuances. Thankfully there are appendices in the back of the book which proved most helpful.Bottom line: a very different, at times difficult, but very remarkable piece of literature."
0451515242,Emma (Signet classics),,A3J8051PI16RSS,"Veronica Sagan, MD ""(No relation)""",0/0,4.0,1350172800,"My Least Favorite Austen, and yet still great","I'm sorry, I know that Emma is supposed to be Austen's comic masterpiece and it is wonderful, but it's probably my least favorite Austen novel. That said, I still like it a great deal.Emma is funny. If you liked Pride and Prejudice, then you'll love Emma.However, I like Austen's darker, heavier books, like Persuasion and Mansfield Park.Emma is long, far longer than S&S; or Persuasion, but it's also fluffier. Emma is rich, very quite rich, so she doesn't have the problems of the Bennett girls in P&P; or the girls in S&S;, or even the gentler money problems of the ladies in Persuasion.Emma is Jane's fantasy, what she might have done if she were rich.If you like Jane Austen, you'll like Emma.If you like Jane Austen's sharp, stinging wit, try one of her others.V."
